Game result,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
1st (67),4:16,12,-1,5,5,8,31,0,7,3,0,4,11,16,3,no,10,1,7,0,2,1,1,3
2nd (64),3:29,5,-3,4,3,4,45,6,0,3,0,4,12,17,4,no,9,1,6,1,2,2,3,2
3rd (58),3:48,17,0,5,7,15,0,6,8,2,1,2,13,4,9,no,11,3,0,1,3,6,2,0
4th (56),2:58,8,-2,3,7,12,0,3,25,3,0,1,8,8,8,no,13,3,0,3,4,2,3,0
5th (54),3:38,16,0,5,10,9,0,3,11,3,0,0,15,8,9,no,12,2,0,2,5,3,1,2
6th (45),3:13,0,-6,7,8,27,0,9,0,2,1,1,12,15,0,no,8,5,0,0,0,5,4,1
7th (36),5:07,0,-4,2,3,27,0,0,8,2,0,1,8,11,7,no,14,7,0,1,3,3,4,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),5:35,10,-2,11,10,19,0,3,8,3,1,1,7,8,3,yes,5,3,0,1,2,4,4,0
2nd (58),4:02,12,-1,6,20,11,0,10,0,4,1,2,12,8,5,no,8,2,0,0,3,6,2,0
3rd (54),3:53,16,-1,1,7,6,25,0,0,2,0,6,8,2,10,no,11,1,6,0,3,3,3,0
4th (53),4:05,13,-2,1,2,4,26,0,9,1,0,2,8,6,10,no,14,1,6,1,4,2,2,2
5th (52),3:32,0,-5,4,3,37,0,7,6,1,0,2,6,11,0,yes,3,7,0,1,0,3,5,1
6th (51),3:42,1,-4,9,3,0,10,6,26,1,0,2,4,18,1,yes,2,0,4,3,1,2,4,3
7th (50),4:17,8,-3,4,10,21,0,0,10,3,1,2,14,6,8,yes,6,4,0,1,3,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (67),3:05,18,0,4,7,11,0,8,19,2,0,1,12,9,7,no,11,2,0,2,3,4,4,1
2nd (59),2:12,3,-5,7,7,32,0,0,15,3,0,1,2,13,3,no,13,6,0,2,2,2,3,0
3rd (51),3:38,16,-1,10,10,3,0,3,10,3,2,1,4,10,10,yes,3,1,0,1,4,4,3,0
4th (51),3:15,7,-2,3,3,24,10,6,0,3,2,2,15,8,5,no,9,4,2,0,3,3,3,1
5th (47),3:15,13,-1,3,2,6,21,0,3,1,3,6,12,4,8,no,14,2,6,1,3,1,0,2
6th (44),2:43,1,-5,6,20,15,0,0,7,4,0,0,7,14,3,no,8,3,0,1,2,2,3,3
7th (42),2:20,0,-4,2,0,13,31,0,0,0,4,4,10,4,0,no,12,4,6,1,0,0,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),4:22,9,-2,5,7,24,0,0,17,3,0,0,12,9,4,no,13,5,0,2,2,5,1,0
2nd (57),3:19,0,-6,5,3,17,13,7,18,3,0,2,8,12,0,no,14,4,4,2,0,2,4,2
3rd (56),5:16,13,0,5,13,22,0,3,0,3,0,0,7,11,9,no,8,4,0,0,4,3,3,1
4th (56),4:39,5,-3,2,5,4,43,0,0,2,0,5,12,11,4,no,12,1,9,0,2,0,3,1
5th (54),3:31,3,-2,3,3,4,38,5,0,1,0,6,6,8,3,yes,3,1,7,1,2,4,1,1
6th (53),4:42,17,0,8,7,16,0,5,0,2,2,1,12,12,10,no,11,3,0,0,4,5,1,1
7th (50),6:07,8,-2,1,3,15,4,3,18,3,0,2,16,10,5,no,9,4,1,3,3,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),3:12,18,0,4,7,21,0,0,10,3,1,0,4,12,7,no,13,5,0,1,4,1,3,0
2nd (58),3:33,14,-1,7,5,15,0,7,11,3,0,1,18,18,7,no,10,3,0,1,4,4,1,2
3rd (54),3:22,7,-2,6,3,14,18,0,8,1,1,2,16,19,6,no,11,2,5,1,3,2,3,0
4th (53),7:37,9,-3,6,3,0,26,12,0,3,0,4,8,2,4,no,14,0,5,1,2,6,3,1
5th (51),3:12,0,-6,4,20,21,0,4,8,4,0,0,14,7,5,no,8,4,0,1,2,4,2,1
6th (49),3:07,0,-5,6,10,30,0,0,8,3,0,2,3,10,3,no,12,6,0,1,1,2,4,1
7th (33),3:15,13,-2,3,3,0,16,0,0,2,3,3,12,7,13,no,9,0,5,0,5,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),2:04,10,-2,6,15,16,0,3,16,3,0,1,11,8,6,yes,1,3,0,2,3,4,3,0
2nd (62),3:01,17,-1,4,3,11,25,3,0,2,2,2,17,13,6,yes,2,2,4,0,3,3,1,1
3rd (60),3:05,0,-5,0,3,0,55,0,7,2,3,6,12,2,2,no,14,0,10,1,1,0,1,2
4th (54),3:04,16,-1,6,7,16,10,0,0,3,0,2,4,15,7,no,13,3,2,1,3,2,3,1
5th (49),2:31,17,-1,8,3,9,1,2,10,2,1,2,4,12,8,yes,4,2,1,1,3,5,2,1
6th (45),2:19,0,-6,12,10,16,0,7,6,3,2,0,12,15,3,no,12,3,0,1,1,3,4,1
7th (45),3:23,2,-4,4,5,25,0,8,5,3,2,2,9,4,2,no,10,5,0,0,2,5,1,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (67),2:39,0,-4,2,2,5,62,0,0,1,2,7,10,4,0,no,14,1,11,0,0,1,1,2
2nd (60),3:12,9,-2,5,10,11,0,9,18,3,1,0,26,12,1,no,12,3,0,3,1,4,2,1
3rd (60),4:11,17,0,4,7,21,0,0,11,2,0,1,13,18,10,no,11,4,0,2,4,2,3,1
4th (52),3:32,8,-3,5,0,32,0,4,6,1,1,1,8,11,4,no,13,7,0,1,2,2,4,0
5th (51),2:50,0,-6,6,3,19,26,3,0,3,1,3,14,14,0,no,9,4,5,0,0,4,1,2
6th (50),2:27,15,0,8,10,13,1,3,0,3,1,1,4,11,10,yes,3,2,1,0,5,4,2,0
7th (48),2:52,8,-2,6,15,15,0,6,0,3,1,4,5,10,7,yes,1,3,0,0,3,6,2,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),3:18,0,-5,6,10,10,31,7,0,3,0,5,20,6,0,no,12,2,7,0,0,4,1,1
2nd (58),2:39,11,-2,5,7,22,0,0,15,3,1,0,14,22,6,no,13,5,0,2,3,2,2,0
3rd (54),2:52,11,-1,11,7,6,1,4,15,2,0,0,4,14,8,no,11,1,1,2,3,3,4,2
