Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
4,51,2:04,8,-2,4,20,21,0,0,0,4,0,0,6,13,5,no,8,4,0,0,3,2,3,2
5,50,3:41,2,-4,5,3,29,0,3,12,1,0,1,6,9,2,no,9,6,0,2,2,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,69,4:19,0,-4,1,3,14,55,0,0,2,0,6,8,3,0,no,14,3,9,1,0,1,4,0
2,56,5:42,17,0,1,3,11,0,1,23,1,0,0,10,9,9,no,11,2,0,3,4,2,3,3
3,55,2:51,5,-2,2,3,0,38,0,9,3,0,5,3,6,3,no,9,0,7,1,1,2,3,2
4,46,5:01,13,-1,3,10,8,0,3,10,3,0,0,2,0,10,yes,3,2,0,1,4,3,3,2
5,38,5:25,1,-3,3,20,17,0,0,0,4,0,1,7,12,7,no,8,3,0,0,4,3,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,3:08,0,-6,2,3,4,48,4,13,3,1,5,14,12,0,no,9,1,8,2,0,2,1,2
2,60,3:29,18,0,4,7,19,0,4,8,2,0,0,14,8,8,no,11,4,0,1,3,3,4,1
3,55,5:12,13,0,3,5,10,0,4,20,3,1,0,7,10,6,no,10,2,0,2,4,1,4,1
4,50,5:56,4,-2,6,20,11,0,4,7,4,0,1,10,10,6,no,8,2,0,1,3,5,2,1
5,46,2:16,0,-5,12,10,22,0,7,0,3,0,0,12,17,6,no,12,4,0,0,2,4,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,4:00,8,-3,7,13,6,0,10,13,3,0,1,18,16,5,no,8,1,0,2,2,6,4,0
2,54,5:46,4,-3,6,3,18,9,9,8,2,0,1,2,10,1,no,9,4,3,1,1,3,3,3
3,53,3:08,5,-4,6,3,5,26,3,9,3,0,3,4,10,3,no,14,1,5,2,1,4,3,2
4,53,3:34,13,0,1,7,24,0,0,8,2,2,2,18,8,9,no,11,5,0,1,4,1,1,2
5,46,2:46,8,-2,3,10,18,9,0,0,3,0,1,8,6,9,no,12,3,3,0,4,0,4,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,69,4:42,18,0,1,7,5,10,2,26,3,0,1,8,9,8,no,13,1,3,3,4,2,2,0
2,61,5:39,18,0,4,5,8,0,3,23,3,0,0,13,5,9,no,10,2,0,2,5,5,1,0
3,55,3:47,9,-3,6,5,16,16,0,6,2,0,2,11,14,3,no,12,3,3,2,2,2,3,1
4,51,4:41,0,-6,2,2,10,43,0,0,1,1,4,13,10,0,no,14,2,9,0,0,2,4,0
5,46,3:08,0,-6,7,7,33,0,5,0,2,1,2,4,11,2,no,11,7,0,0,0,1,5,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,69,4:19,12,-1,3,5,17,0,3,30,3,0,0,6,9,5,no,10,4,0,2,3,2,3,1
2,63,2:51,0,-6,4,10,0,55,0,0,3,1,5,15,12,0,no,12,0,10,0,0,1,2,1
3,54,2:19,6,-2,3,7,27,0,0,13,2,0,0,18,8,6,no,11,5,0,2,2,3,3,1
4,53,3:17,13,-2,2,3,15,10,4,8,3,0,2,6,9,9,no,14,3,3,1,4,3,4,0
5,49,4:26,9,-1,10,3,10,1,12,5,3,2,0,12,19,5,no,9,2,0,1,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,4:47,17,0,4,7,14,0,4,13,2,2,1,12,2,5,no,11,4,0,2,2,2,4,0
2,58,3:39,0,-6,3,2,11,48,0,0,1,1,4,7,6,0,no,12,2,9,0,0,2,1,2
3,51,2:57,8,-2,10,7,12,0,8,8,3,0,1,4,15,9,no,13,3,0,1,4,5,2,0
4,50,3:08,17,0,3,3,15,0,0,12,1,2,2,6,9,11,no,8,3,0,2,5,1,4,0
5,44,3:50,0,-4,5,3,27,0,7,6,2,2,0,13,10,1,no,9,5,0,1,1,4,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,2:36,14,0,4,15,9,0,3,18,3,0,0,4,12,6,yes,1,2,0,2,3,2,3,3
2,52,3:04,0,-6,1,10,9,38,0,0,3,1,3,18,6,0,no,12,2,8,0,0,0,3,1
3,51,3:42,17,-1,2,3,20,4,0,6,3,0,2,13,10,11,no,14,5,2,1,5,3,2,0
4,49,3:12,0,-4,5,7,17,0,7,17,3,1,2,6,6,3,no,13,3,0,2,2,5,2,0
5,47,4:50,10,-2,4,5,0,10,3,17,3,0,2,10,17,10,no,10,0,3,1,5,2,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,4:54,17,-1,5,15,12,0,7,7,3,0,1,7,11,8,yes,1,3,0,1,4,3,4,0
2,59,4:07,10,-3,5,7,14,26,0,0,3,1,2,14,26,6,no,13,2,6,0,2,0,3,1
3,53,4:46,3,-4,13,10,10,1,11,9,3,1,2,12,8,2,no,12,2,1,1,1,5,3,1
4,46,4:07,10,-2,1,10,20,0,0,7,3,1,3,9,7,7,yes,3,5,0,1,4,3,1,0
5,42,6:12,4,-4,2,3,17,16,4,0,3,2,0,22,12,1,no,9,3,4,0,1,3,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,6:36,18,0,8,3,10,0,8,17,3,0,0,14,11,7,no,14,3,0,2,4,5,2,2
2,54,3:21,5,-3,3,3,8,10,6,22,2,0,2,12,16,4,no,9,2,3,3,2,3,4,1
3,52,3:23,0,-4,3,5,18,26,4,0,2,0,4,11,14,2,no,10,3,6,0,1,2,4,0
4,51,2:48,13,-1,5,10,8,16,0,0,3,1,3,12,6,5,no,12,2,5,0,2,2,1,2
5,50,4:51,1,-3,5,13,31,0,3,0,3,1,2,4,6,1,no,8,6,0,0,1,3,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,3:48,0,-2,2,3,0,55,4,0,2,0,5,10,4,3,no,14,0,10,0,2,2,2,2
2,58,2:07,10,0,6,7,21,0,6,8,3,0,1,2,6,6,no,13,5,0,1,3,3,3,0
3,47,2:17,0,-2,7,10,21,1,3,7,3,0,0,11,8,3,no,12,4,1,1,2,3,3,1
4,47,3:42,5,0,6,0,19,0,0,17,1,0,0,6,12,9,no,10,4,0,2,4,2,3,2
5,47,3:09,5,0,2,7,16,0,0,17,2,0,2,10,9,9,no,11,3,0,3,3,3,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,65,4:15,15,-1,5,7,22,0,0,17,2,1,1,15,20,8,no,11,4,0,2,3,2,3,1
2,56,4:23,13,-1,5,20,11,0,8,0,4,0,0,10,12,8,no,8,2,0,0,4,3,4,1
3,54,3:46,3,-3,6,10,18,0,5,15,3,0,0,26,14,5,no,12,3,0,2,3,4,2,1
4,54,4:55,0,-6,5,3,4,48,0,0,3,2,5,6,5,3,no,14,1,8,1,1,1,2,2
5,51,5:01,10,-2,3,3,11,26,0,0,3,1,3,4,10,5,no,9,2,5,0,3,2,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,3:31,15,-1,3,7,24,0,0,10,3,1,1,3,8,8,no,13,5,0,1,4,2,2,0
2,55,3:01,1,-5,2,3,14,31,3,6,3,2,5,10,2,1,no,14,3,7,1,1,2,2,0
3,54,6:14,11,-3,2,7,25,0,0,12,2,1,1,19,2,6,no,11,5,0,2,2,4,2,0
4,44,3:45,3,-3,4,20,5,0,6,9,4,2,0,8,9,6,no,8,1,0,1,3,1,6,0
5,43,3:46,11,-1,10,3,0,10,3,7,3,0,0,6,25,12,no,9,0,2,1,5,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,3:45,8,-2,9,10,10,0,7,14,3,1,1,4,6,3,yes,3,2,0,2,2,4,3,1
2,53,3:06,7,-3,6,10,22,0,3,8,3,0,0,11,15,5,no,12,4,0,1,3,2,3,2
3,51,3:56,15,-1,2,10,7,13,0,5,3,0,2,9,10,8,yes,2,1,3,1,4,2,3,1
4,45,3:32,10,-4,2,0,0,26,0,11,2,0,4,12,7,8,no,13,0,5,3,3,3,2,0
5,36,3:22,5,-5,2,10,14,4,6,0,3,0,3,8,6,6,yes,7,5,2,0,2,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,5:11,5,-3,1,3,7,28,4,13,3,0,5,10,4,3,no,14,2,7,2,1,2,2,2
2,55,5:13,12,-2,2,5,12,9,0,17,3,0,3,6,8,8,no,10,2,3,1,4,3,2,0
3,52,5:56,0,-4,10,10,13,16,7,0,3,0,2,12,10,0,no,12,3,4,0,0,3,4,1
4,51,5:24,12,-2,3,10,22,0,0,6,3,1,1,12,18,8,yes,4,4,0,1,3,1,4,1
