Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods,Match ID/Avg lvl
,,,,,,,,,,,,,,,,,,,,,,,,,
4th (51),3:29,0,-6,9,10,6,16,9,7,3,0,3,2,14,0,yes,2,1,3,1,0,4,3,3,
5th (48),3:05,0,-6,3,3,5,36,0,7,2,1,3,4,11,0,no,14,1,8,1,0,2,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (67),3:58,18,0,6,7,26,0,4,6,3,0,0,6,18,7,no,13,4,0,1,4,1,4,1,#62777015
2nd (63),2:40,17,-1,6,3,21,0,8,9,3,0,1,11,19,8,no,14,5,0,1,4,4,2,2,397
3rd (60),2:42,0,-6,0,3,5,55,3,0,3,0,5,21,2,0,no,9,1,9,0,0,4,2,1,
4th (58),2:51,10,-2,6,20,6,0,9,9,4,1,0,16,17,6,no,8,1,0,1,4,2,5,0,
5th (49),3:09,0,-6,5,10,14,1,0,25,3,1,2,12,10,0,no,12,4,0,4,0,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (65),2:07,8,-1,11,7,24,0,8,8,3,0,0,0,20,3,no,13,5,0,1,2,2,5,0,#51374990
2nd (55),4:01,18,0,4,3,6,21,3,0,3,1,4,6,9,7,no,14,2,6,0,4,2,2,1,395
3rd (50),2:42,0,-5,3,3,6,16,6,21,3,0,3,20,6,3,no,9,1,3,3,1,4,2,3,
4th (47),2:59,10,-2,1,20,12,0,6,0,4,1,2,10,3,5,no,8,4,0,0,2,2,4,1,
5th (44),5:47,0,-4,4,10,21,13,0,0,3,0,3,6,4,2,no,12,3,3,1,1,4,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (63),5:19,3,-4,3,10,16,13,3,19,3,0,3,17,6,2,no,12,3,4,2,1,4,1,0,#61666781
2nd (58),3:38,16,-1,1,7,21,0,0,14,2,0,0,10,3,10,no,11,5,0,2,4,1,4,0,395
3rd (55),3:00,5,-4,5,3,3,43,0,0,3,1,5,12,18,3,no,14,1,9,0,1,1,3,2,
4th (53),3:04,10,-2,2,5,22,0,3,13,3,0,0,4,8,5,no,10,4,0,1,3,2,3,2,
5th (47),4:26,9,-2,6,7,11,13,3,0,3,0,1,4,12,8,no,13,2,4,0,4,2,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (57),2:08,11,-1,7,7,10,0,6,17,2,2,0,8,10,5,no,11,2,0,2,2,1,6,1,#51557064
2nd (56),3:12,13,-1,3,3,14,10,5,9,3,0,3,14,7,9,no,14,2,3,1,4,5,3,0,395
3rd (52),2:24,5,-3,5,10,25,0,0,10,3,0,1,12,8,6,no,12,5,0,1,3,3,2,1,
4th (52),2:44,11,-1,4,13,14,0,3,8,3,0,0,7,14,8,no,8,3,0,1,4,3,4,0,
5th (49),2:09,0,-4,6,3,7,37,0,0,3,2,2,10,12,1,no,9,2,5,1,1,1,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),2:16,12,-1,5,7,13,0,0,28,2,0,0,12,19,8,no,11,2,0,4,3,1,3,3,#61149646
2nd (64),4:09,1,-4,4,3,10,47,3,0,3,2,5,16,16,1,no,14,2,8,1,1,2,2,0,394
3rd (52),2:52,8,-4,5,5,17,0,8,13,3,0,0,16,6,7,no,10,4,0,1,3,5,2,0,
4th (52),3:54,8,-3,2,3,3,26,7,6,3,0,0,16,12,3,no,9,1,5,1,2,3,3,2,
4th (52),3:25,14,-1,2,20,17,0,0,0,4,0,0,9,16,13,no,8,3,0,0,6,2,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (67),5:05,18,0,3,7,10,13,0,16,2,0,3,8,10,6,no,11,2,4,2,2,3,3,0,#56656119
2nd (57),2:54,16,-1,5,7,18,0,7,5,3,0,1,8,9,8,no,13,4,0,1,4,2,4,0,394
3rd (48),5:09,0,-5,9,10,17,0,4,13,3,1,0,6,6,1,no,12,3,0,2,1,3,3,2,
4th (45),5:26,0,-6,8,15,16,0,6,6,3,1,0,8,11,0,yes,1,4,0,1,0,4,3,2,
5th (35),4:27,10,-2,5,5,14,0,3,0,2,4,0,14,8,7,no,10,3,0,0,4,3,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (74),2:59,11,-2,2,5,10,48,0,0,2,0,6,7,4,2,no,12,2,8,1,1,2,1,1,#60508455
2nd (58),2:37,5,-4,5,13,20,0,3,16,3,0,1,14,15,3,no,8,4,0,2,1,3,5,0,393
3rd (51),4:03,17,0,9,7,2,0,8,8,2,0,0,4,10,11,no,11,1,0,1,4,4,4,2,
4th (40),2:34,9,-2,9,3,15,1,5,0,2,0,1,12,16,8,yes,6,3,1,0,4,3,3,2,
5th (40),3:01,1,-5,1,5,29,0,3,6,2,2,4,8,0,1,no,10,6,0,1,1,3,1,2,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),2:44,18,0,5,7,13,0,2,19,2,2,2,10,4,5,no,11,3,0,2,2,4,3,0,#59582635
2nd (61),2:32,17,0,3,15,6,0,3,17,3,0,1,8,12,8,yes,1,1,0,2,5,3,3,1,392
3rd (57),3:02,0,-6,3,3,19,38,0,0,3,0,4,6,10,0,no,14,4,7,1,0,1,3,2,
