Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
,,,,,,,,,,,,,,,,,,,,,,,,,
1,80,3:23,18,0,5,20,11,0,4,22,4,0,2,6,12,6,no,8,2,0,2,3,4,3,0
2,56,3:21,5,-3,1,3,0,48,2,0,3,1,5,10,2,5,no,9,0,8,0,2,2,2,2
3,55,6:43,13,-1,5,5,20,0,7,6,3,0,1,9,10,6,no,10,4,0,0,3,3,3,2
4,53,4:41,0,-4,7,7,36,4,3,0,3,0,2,6,11,2,no,13,7,2,0,1,3,2,0
5,49,4:07,10,-2,5,7,0,13,4,12,2,1,3,15,6,8,no,11,0,3,3,2,4,3,0
6,45,4:28,0,-4,6,10,12,13,0,8,3,0,3,10,15,5,no,12,2,4,1,2,0,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,3:02,18,0,3,7,11,1,0,22,3,0,2,2,10,8,no,13,2,1,3,4,1,3,1
2,55,3:11,5,-4,2,10,8,31,3,0,3,0,6,22,2,5,no,12,2,6,1,2,2,1,1
3,54,2:12,17,0,2,10,18,0,0,7,3,1,0,12,6,7,yes,3,4,0,1,4,2,2,1
4,53,4:13,1,-2,5,20,6,0,4,19,4,0,1,8,15,5,no,8,1,0,2,3,4,2,2
5,48,2:22,3,-4,9,7,25,0,2,6,2,1,2,5,20,4,no,11,5,0,1,1,3,4,1
6,39,4:54,0,-4,6,3,23,1,10,0,3,0,2,11,7,5,no,14,5,1,0,2,6,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,2:43,14,-1,7,5,14,0,3,17,3,0,1,13,18,9,no,10,3,0,1,4,3,2,2
2,54,3:13,0,-6,2,3,14,38,3,0,3,1,7,5,2,0,no,14,4,7,1,0,2,3,0
3,53,2:27,17,-1,2,7,28,0,0,0,2,1,2,10,6,10,no,11,6,0,0,4,1,3,1
4,52,3:37,0,-6,10,20,6,1,8,13,4,0,0,8,15,0,no,8,1,1,2,0,3,5,2
5,51,3:50,10,-2,5,7,27,0,0,4,3,1,0,4,7,4,no,13,4,0,1,3,3,2,1
6,47,3:28,12,-1,3,10,2,0,2,19,3,1,2,14,6,8,no,12,1,0,3,4,4,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,74,3:24,0,-6,1,3,0,76,0,0,3,3,5,17,8,0,no,14,0,11,1,0,1,1,1
2,66,2:47,18,0,2,20,11,0,5,10,4,0,0,5,9,6,no,8,2,0,1,3,2,5,1
3,63,2:42,9,-1,11,10,0,0,12,22,3,0,2,16,16,5,no,12,0,0,3,3,5,4,0
