Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods,Match ID/Avg lvl
1,56,4:50,0,-6,4,3,22,26,0,7,3,0,3,9,21,0,no,14,5,5,2,0,2,2,2,#65279593
2,55,2:28,14,-2,10,10,10,0,6,7,3,1,3,12,13,6,no,12,2,0,1,3,4,3,1,460
3,48,3:53,13,-1,2,3,21,1,3,6,1,3,1,17,4,4,no,8,4,1,1,3,3,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,2:42,9,-2,4,7,19,0,0,12,3,2,2,8,13,6,no,13,4,0,2,3,1,3,0,#65279218
2,44,3:47,8,-2,2,0,12,18,0,6,0,2,3,13,8,4,no,9,2,5,1,3,2,1,2,460
3,39,3:24,5,-4,2,10,16,1,4,5,3,1,2,6,6,6,yes,3,3,1,1,2,4,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,3:53,16,0,4,3,13,18,4,0,2,1,3,6,12,8,no,14,2,5,0,4,1,4,1,#65278783
2,50,4:13,3,-3,2,20,24,0,4,0,4,0,3,7,7,3,no,8,5,0,0,2,4,3,0,460
3,42,2:59,5,-3,2,5,14,0,0,19,3,1,1,15,9,7,no,10,3,0,3,3,3,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,2:28,13,0,8,7,20,0,4,11,2,1,0,11,23,6,no,11,3,0,2,3,2,4,1,#65278315
2,46,4:35,0,-6,5,3,15,25,0,4,3,2,1,10,10,0,no,9,3,5,1,0,3,2,1,460
3,46,5:38,9,-2,3,10,5,13,0,8,3,3,2,19,7,6,no,12,1,3,2,3,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,3:01,1,-4,4,3,6,34,0,9,3,1,2,8,17,4,no,9,1,5,2,2,2,3,1,#65277924
2,51,4:07,16,-2,7,10,17,0,3,0,3,4,1,13,12,7,yes,3,3,0,0,3,3,1,1,460
3,45,4:45,9,-2,1,7,20,10,0,0,3,2,1,12,4,6,no,13,4,3,0,3,1,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,4:03,8,-2,7,20,8,1,4,7,4,1,2,11,15,7,no,8,2,1,1,3,3,2,1,#55687407
2,49,3:47,10,0,5,2,11,9,0,12,1,1,1,12,11,7,no,12,2,3,2,4,2,3,0,460
3,48,3:06,1,-5,2,3,30,10,7,0,2,0,4,8,5,1,no,14,6,4,0,1,4,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,5:37,6,-4,6,3,11,36,0,0,3,0,5,9,20,4,no,9,2,7,0,2,2,3,1,#60674332
2,58,5:01,18,0,0,3,14,1,3,19,1,1,2,15,7,7,no,11,2,1,3,4,3,2,1,459
3,48,3:46,3,-5,2,13,14,18,3,0,3,0,6,10,7,2,no,8,3,4,1,1,2,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,6:09,18,0,4,0,22,0,0,13,0,2,0,8,15,7,no,11,4,0,2,4,2,3,1,#60774449
2,47,6:07,0,-6,5,3,19,26,0,0,2,0,3,15,14,0,yes,5,4,5,1,0,4,2,0,458
3,45,7:26,9,-3,1,3,12,18,5,0,3,1,3,12,6,3,no,9,3,4,0,2,2,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,5:09,8,-2,4,20,13,0,8,0,4,2,1,9,3,4,no,8,3,0,0,3,4,1,1,#60773979
2,44,4:27,5,-5,7,7,24,1,0,5,3,0,1,0,22,5,no,13,5,1,1,2,2,4,0,458
3,42,5:01,14,-2,3,7,18,0,2,0,2,5,1,18,2,6,no,11,4,0,0,2,2,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,4:36,15,-1,5,20,10,0,9,5,4,1,1,13,12,7,no,8,2,0,1,4,5,1,0,#62682268
2,56,4:43,11,-3,5,3,31,0,3,6,1,2,0,20,22,5,no,11,6,0,1,2,2,3,1,457
3,52,4:13,1,-5,6,10,11,21,0,8,3,0,2,22,21,1,no,12,3,6,1,1,1,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55,4:00,8,-4,3,10,25,13,0,0,3,0,2,11,7,2,no,12,5,4,0,1,2,2,1,#62682011
2,55,3:36,17,0,3,5,10,0,4,16,3,3,1,9,4,6,no,10,2,0,1,3,2,4,0,457
3,48,3:44,1,-4,9,7,14,4,8,9,3,0,1,6,15,1,no,13,3,1,2,1,5,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,67,4:55,18,0,5,10,27,0,0,7,3,1,1,18,16,7,no,12,5,0,1,4,2,1,1,#62681731
2,61,4:22,0,-6,2,3,6,48,3,5,3,2,4,20,13,0,no,9,1,7,2,0,1,2,2,457
3,60,3:52,9,-3,8,20,7,0,9,10,4,1,0,9,18,1,no,8,2,0,1,1,5,4,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,61,3:08,12,-2,0,7,23,0,3,18,3,0,3,6,1,5,no,13,5,0,2,3,3,2,0,#62681485
2,60,4:00,15,-1,7,2,20,4,5,8,1,0,1,2,12,7,no,14,3,2,1,4,2,5,1,457
3,59,3:51,0,-6,4,3,0,55,3,0,3,2,6,9,4,0,no,9,0,9,0,0,4,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,4:23,12,-2,3,3,16,10,7,13,3,0,3,18,12,5,no,9,3,2,2,3,4,2,1,#60963955
2,58,5:13,15,-1,6,5,14,0,0,19,3,1,0,11,20,7,no,10,3,0,2,4,2,3,0,457
3,49,2:52,0,-6,2,3,12,31,0,7,2,3,3,10,7,0,no,14,3,7,1,0,0,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,4:14,0,-6,3,3,12,38,0,7,2,1,4,10,14,0,yes,7,2,8,1,0,2,2,1,#59610928
1,57,3:50,12,-1,3,15,8,0,8,12,3,1,2,10,4,6,yes,1,1,0,2,4,5,2,0,457
3,54,3:39,14,-1,8,7,16,0,6,4,2,0,1,12,14,9,no,11,3,0,1,3,2,6,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,4:24,8,-1,1,7,23,0,0,19,3,0,1,18,21,5,no,13,6,0,2,3,0,4,0,#54907976
2,54,6:03,0,-4,9,3,6,36,4,0,3,0,4,5,21,1,no,14,1,8,0,1,4,3,1,457
3,51,4:38,13,0,1,7,18,10,2,0,2,2,2,19,0,8,no,11,3,3,0,3,4,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,3:26,0,-4,0,3,4,48,2,4,3,0,5,10,2,1,no,9,1,7,2,1,2,2,2,#63437720
2,54,3:51,11,-1,1,7,28,0,0,8,3,0,1,7,8,8,no,13,5,0,1,4,2,2,1,456
3,52,2:32,13,-1,3,8,19,4,0,6,2,0,4,2,9,9,no,8,4,2,1,4,2,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,2:58,0,-6,10,20,27,0,6,0,4,0,2,7,24,0,no,8,5,0,0,0,6,2,1,#60752035
2,53,3:36,18,0,1,2,4,4,1,23,1,2,2,18,9,7,no,12,1,2,3,4,1,3,1,456
3,48,3:38,9,-3,1,0,15,26,0,0,2,3,4,8,0,3,no,13,3,6,0,2,1,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,3:25,17,-1,6,7,6,9,2,8,2,1,3,5,6,8,no,11,1,3,1,3,3,4,0,#56945923
2,52,3:27,10,-2,0,3,26,10,0,5,3,0,3,8,6,4,no,9,5,2,1,3,1,1,3,456
3,49,4:09,0,-6,4,2,15,18,4,12,1,0,6,4,5,0,no,14,4,5,2,0,4,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,2:52,17,-1,1,7,16,16,0,0,3,0,3,6,9,8,no,13,3,3,1,4,1,3,0,#56945721
2,46,2:45,10,-2,7,10,18,0,3,0,3,3,1,5,4,4,yes,3,3,0,0,3,3,2,1,456
3,43,2:58,0,-6,4,20,12,0,7,6,4,1,2,8,6,0,no,8,3,0,1,0,5,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,65,2:15,9,-3,4,13,0,34,0,8,3,0,4,13,24,3,no,8,0,6,2,2,1,3,1,#56654774
2,64,3:20,18,0,2,3,29,0,3,9,1,0,1,18,12,7,no,11,5,0,1,4,2,3,2,455
3,45,3:11,0,-6,4,7,20,0,9,11,3,1,3,10,5,0,no,13,5,0,2,0,6,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,61,2:40,10,0,3,7,23,0,5,13,2,0,2,6,5,7,no,11,5,0,2,3,1,5,0,#54492734
2,60,4:54,3,-4,2,5,6,48,0,0,2,2,7,12,10,4,no,10,1,9,0,2,0,0,2,455
3,42,5:23,6,-3,2,3,24,1,4,5,2,0,4,6,9,7,no,9,5,1,1,3,4,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,61,2:08,0,-6,1,3,15,48,0,0,2,1,3,9,8,0,no,14,2,8,1,0,1,3,2,#56626836
2,57,2:55,18,0,8,3,15,4,9,0,3,0,3,6,10,9,no,9,3,1,0,5,6,2,0,454
3,48,4:02,9,-3,2,10,14,0,4,12,3,2,1,12,9,5,yes,4,3,0,2,2,1,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,2:37,8,-1,0,5,12,26,0,7,2,0,8,14,6,6,no,12,3,7,1,3,0,2,0,#56626610
2,54,3:05,10,-2,11,3,27,0,5,0,2,0,4,2,22,7,no,14,6,0,0,3,4,5,0,454
3,48,5:02,3,-2,0,3,14,18,3,9,3,2,2,18,6,3,no,9,2,3,2,2,3,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,4:41,10,-2,0,20,5,0,0,23,4,0,0,12,4,5,no,8,1,0,3,3,1,3,3,#66975931
2,54,4:05,16,-2,8,10,14,0,8,0,3,3,2,3,2,6,yes,3,2,0,0,3,5,2,0,453
3,52,4:33,1,-5,4,7,23,16,0,6,3,1,4,4,13,1,no,13,5,4,1,1,0,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,5:14,17,-1,0,3,19,17,0,4,2,0,5,8,6,6,no,14,4,5,1,3,2,1,2,#62661188
